DE000A1EWWW0;ADIDAS;ADS
DE0008404005;ALLIANZ;ALV
DE000BASF111;BASF;BAS
DE0005190003;BMW;BMW
DE000BAY0017;BAYER;BAYN
DE0005200000;BEIERSDORF;BEI
DE000CBK1001;COMMERZBANK;CBK
DE0005439004;CONTINENTAL;CON
DE0007100000;DAIMLER;DAI
DE0005140008;DEUTSCHE BANK;DBK
DE0005810055;DEUTSCHE BOERSE;DB1
DE0005552004;DEUTSCHE POST;DPW
DE0005557508;DEUTSCHE TELEKOM;DTE
DE000ENAG999;E.ON;EOAN
DE0005785802;FRESENIUS MED CARE;FME
DE0005785604;FRESENIUS;FRE
DE0006047004;HEIDELBERGCEMEN;HEI
DE0006048432;HENKEL;HEN3
DE0006231004;INFINEON;IFX
DE000KSAG888;K+S;SDF
DE0006483001;LINDE;LIN
DE0008232125;LUFTHANSA;LHA
DE0006599905;MERCK;MRK
DE0008430026;MUENCH RUECKVERS;MUV2
DE0007037129;RWE;RWE
DE0007164600;SAP;SAP
DE0007236101;SIEMENS;SIE
DE0007500001;THYSSENKRUPP;TKA
DE0007664039;VOLKSWAGEN;VOW3
DE000A1ML7J1;VONOVIA;VNA
